Date,Open,High,Low,Close,Adj Close,Volume
2015-03-20,9.06,9.06,8.88,9.0,9.0,1519260
2015-03-23,9.12,9.24,8.9,8.98,8.98,1358055
2015-03-24,9.0,9.6,8.96,9.34,9.34,11444135
2015-03-25,9.32,9.38,9.16,9.28,9.28,1908230
2015-03-26,9.26,9.34,9.14,9.28,9.28,1779100
2015-03-27,9.3,10.3,9.3,9.96,9.96,9537885
2015-03-30,10.05,10.85,9.92,10.7,10.7,8775655
2015-03-31,10.75,11.25,10.6,10.7,10.7,8874940
2015-04-01,10.65,10.9,10.4,10.8,10.8,2202460
2015-04-02,11.6,11.85,11.45,11.45,11.45,12467420
2015-04-07,11.45,11.55,11.1,11.35,11.35,3968615
2015-04-08,11.35,11.5,11.05,11.15,11.15,2559630
2015-04-09,11.2,11.2,10.9,10.95,10.95,1953835
2015-04-10,10.8,11.05,10.75,11.0,11.0,1868215
2015-04-13,11.05,11.45,11.05,11.4,11.4,2122440
2015-04-14,11.4,11.5,11.0,11.15,11.15,6739525
2015-04-15,11.05,11.15,10.5,10.5,10.5,7725190
2015-04-16,10.3,10.75,10.15,10.7,10.7,3777265
2015-04-17,10.75,10.9,10.5,10.85,10.85,2754760
2015-04-20,10.85,10.85,10.45,10.75,10.75,1518115
2015-04-21,10.7,10.95,10.6,10.95,10.95,1506980
2015-04-22,10.9,11.6,10.9,11.55,11.55,4638755
2015-04-23,11.55,11.55,11.3,11.45,11.45,1971720
2015-04-24,11.4,11.7,11.3,11.7,11.7,2638560
2015-04-27,11.7,12.9,11.6,12.7,12.7,6040005
2015-04-28,12.7,13.0,11.9,12.65,12.65,7425775
2015-04-29,12.45,12.9,12.35,12.75,12.75,4139415
2015-04-30,12.6,12.7,11.9,12.2,12.2,4357805
2015-05-04,12.2,12.9,11.95,12.8,12.8,4216125
2015-05-05,12.7,12.9,12.7,12.75,12.75,1653530
2015-05-06,12.65,12.95,12.3,12.55,12.55,3610890
2015-05-07,12.75,12.75,12.2,12.65,12.65,1844455
2015-05-08,12.6,12.95,12.5,12.9,12.9,2605540
2015-05-11,14.05,14.65,13.75,14.3,14.3,15117285
2015-05-12,14.2,14.3,13.65,14.1,14.1,5512300
2015-05-13,14.0,14.2,13.9,14.2,14.2,933265
2015-05-15,14.2,15.45,14.15,15.45,15.45,5668025
2015-05-18,17.200001,20.9,17.200001,20.9,20.9,47367345
2015-05-19,20.4,20.5,17.35,17.700001,17.700001,42802290
2015-05-20,18.4,19.950001,18.1,18.5,18.5,27796665
2015-05-21,19.549999,19.799999,18.299999,18.65,18.65,13993705
2015-05-22,18.799999,18.85,17.799999,18.25,18.25,5729055
2015-05-25,18.4,18.700001,18.15,18.5,18.5,3133540
2015-05-26,18.5,18.6,17.9,18.049999,18.049999,2815530
2015-05-27,17.9,19.799999,17.9,19.75,19.75,10734045
2015-05-28,19.6,24.049999,19.4,23.65,23.65,43852170
2015-05-29,25.299999,26.700001,21.049999,21.049999,21.049999,40616515
2015-06-01,21.85,25.450001,21.65,25.15,25.15,36462145
2015-06-02,24.4,25.9,23.6,24.299999,24.299999,25287785
2015-06-03,24.450001,25.85,23.9,25.65,25.65,20547205
2015-06-04,25.35,27.75,25.049999,26.799999,26.799999,25020860
2015-06-05,26.5,27.4,24.950001,25.35,25.35,19032415
2015-06-08,25.35,26.9,25.0,26.75,26.75,10445410
2015-06-09,26.4,27.1,25.200001,25.299999,25.299999,8419765
2015-06-10,25.299999,26.450001,25.0,26.450001,26.450001,9514495
2015-06-11,26.25,26.4,21.200001,21.25,21.25,39748595
2015-06-12,21.549999,24.65,21.5,23.799999,23.799999,32593665
2015-06-15,23.6,23.75,21.450001,21.700001,21.700001,10673260
2015-06-16,26.5,27.700001,25.200001,27.299999,27.299999,29080300
2015-06-17,26.950001,27.4,25.049999,25.799999,25.799999,16665770
2015-06-18,25.950001,26.799999,25.049999,26.35,26.35,12628250
2015-06-22,26.35,30.700001,26.35,29.200001,29.200001,35249215
2015-06-23,29.700001,31.200001,29.25,30.0,30.0,24213365
2015-06-24,30.200001,30.299999,29.15,29.25,29.25,10452420
2015-06-25,29.299999,32.200001,28.85,32.200001,32.200001,27879795
2015-06-26,31.700001,32.900002,31.200001,32.900002,32.900002,15577795
2015-06-29,31.1,36.400002,30.6,36.400002,36.400002,29179585
2015-06-30,36.200001,39.0,34.0,35.700001,35.700001,28430065
2015-07-01,36.200001,36.599998,32.799999,32.900002,32.900002,18605135
2015-07-02,35.799999,36.299999,33.400002,35.0,35.0,18648475
2015-07-03,35.0,35.0,33.5,33.700001,33.700001,4551300
2015-07-06,32.599998,35.200001,32.0,34.400002,34.400002,8588850
2015-07-07,34.599998,34.900002,32.299999,32.400002,32.400002,8686735
2015-07-08,32.599998,33.0,29.5,31.4,31.4,13713780
2015-07-09,31.6,33.5,31.200001,32.599998,32.599998,8740480
2015-07-10,32.799999,33.900002,31.5,32.599998,32.599998,9293155
2015-07-13,32.799999,33.0,31.799999,32.299999,32.299999,3974050
2015-07-14,32.299999,32.400002,31.4,31.4,31.4,2787570
2015-07-15,31.4,31.6,29.35,29.6,29.6,12278875
2015-07-16,29.700001,31.4,29.700001,30.4,30.4,4711990
2015-07-17,30.700001,31.1,29.549999,29.6,29.6,4288940
2015-07-20,29.5,32.900002,29.200001,32.700001,32.700001,11085760
2015-07-21,33.200001,33.799999,32.0,32.099998,32.099998,6737165
2015-07-22,32.200001,32.400002,31.4,31.4,31.4,3804020
2015-07-23,31.5,32.799999,31.5,32.0,32.0,3773335
2015-07-24,32.400002,33.200001,31.9,33.0,33.0,4547015
2015-07-27,33.200001,35.200001,33.0,35.0,35.0,10377065
2015-07-28,36.0,36.200001,34.299999,35.599998,35.599998,9655825
2015-07-29,35.799999,36.400002,34.799999,36.400002,36.400002,7026175
2015-07-30,36.599998,40.0,36.400002,39.799999,39.799999,20198845
2015-07-31,39.599998,42.200001,38.799999,40.799999,40.799999,21188270
2015-08-03,40.700001,41.400002,39.099998,39.700001,39.700001,9386110
2015-08-04,39.900002,41.200001,39.200001,40.900002,40.900002,5423275
2015-08-05,41.099998,41.799999,40.799999,41.799999,41.799999,3981725
2015-08-06,41.799999,45.0,41.799999,45.0,45.0,11990860
2015-08-07,44.299999,47.599998,44.099998,47.599998,47.599998,13813270
2015-08-10,48.0,49.299999,46.900002,49.0,49.0,10311690
2015-08-11,49.200001,50.0,42.900002,44.5,44.5,21076825
2015-08-12,43.799999,46.900002,42.799999,46.299999,46.299999,11266760
2015-08-13,46.799999,50.0,46.599998,49.900002,49.900002,12881215
2015-08-14,49.299999,49.400002,45.799999,46.0,46.0,15764755
2015-08-17,45.0,46.799999,41.900002,44.599998,44.599998,20744350
2015-08-18,43.200001,49.200001,42.900002,49.099998,49.099998,18244460
2015-08-19,48.700001,49.900002,46.900002,46.900002,46.900002,8635880
2015-08-20,52.599998,56.200001,50.5,54.5,54.5,38677325
2015-08-21,53.099998,54.099998,46.099998,46.099998,46.099998,29030005
2015-08-24,43.0,48.299999,40.299999,42.099998,42.099998,35402395
2015-08-25,43.299999,47.599998,43.299999,47.599998,47.599998,18277045
2015-08-26,47.0,49.799999,44.700001,46.0,46.0,25363605
2015-08-27,48.200001,49.0,43.599998,44.5,44.5,27842080
2015-08-28,45.0,45.799999,42.5,44.0,44.0,14363915
2015-08-31,43.0,45.0,42.599998,44.900002,44.900002,10123535
2015-09-01,44.299999,45.299999,43.200001,43.599998,43.599998,6696665
2015-09-02,44.5,44.799999,42.400002,44.0,44.0,9990630
2015-09-03,45.0,45.400002,42.099998,42.400002,42.400002,15217560
2015-09-04,42.099998,44.700001,41.599998,43.900002,43.900002,14421105
2015-09-07,43.5,44.299999,41.700001,42.400002,42.400002,12528425
2015-09-08,45.400002,55.200001,45.400002,49.799999,49.799999,74443445
2015-09-09,51.400002,52.200001,47.400002,47.400002,47.400002,22640275
2015-09-10,46.900002,48.700001,44.5,45.0,45.0,20615015
2015-09-11,44.799999,46.599998,43.099998,45.900002,45.900002,15484550
2015-09-14,44.400002,45.0,41.900002,42.0,42.0,18724635
2015-09-15,42.200001,44.799999,41.900002,44.799999,44.799999,13402080
2015-09-16,45.599998,46.200001,43.0,43.700001,43.700001,18967045
2015-09-17,44.099998,48.099998,43.400002,47.5,47.5,25647230
2015-09-18,47.5,50.700001,44.400002,48.0,48.0,40180475
2015-09-21,47.900002,50.299999,47.400002,49.799999,49.799999,14706265
2015-09-22,49.799999,52.700001,49.599998,52.299999,52.299999,25279385
2015-09-23,52.0,55.900002,51.400002,55.700001,55.700001,29530965
2015-09-24,55.599998,59.599998,53.0,54.799999,54.799999,46977090
2015-09-25,56.200001,59.5,56.099998,59.0,59.0,25995320
2015-09-28,59.599998,61.299999,57.799999,59.900002,59.900002,24185920
2015-09-29,58.5,60.799999,57.5,59.900002,59.900002,12977430
2015-09-30,61.599998,62.900002,60.5,61.799999,61.799999,25074510
2015-10-01,63.0,63.0,58.599998,59.200001,59.200001,19186910
2015-10-02,59.599998,59.900002,56.700001,57.099998,57.099998,14705265
2015-10-05,57.400002,58.200001,54.0,54.400002,54.400002,17228435
2015-10-06,54.700001,57.099998,53.200001,55.799999,55.799999,17921290
2015-10-07,54.599998,55.599998,53.799999,55.400002,55.400002,12003010
2015-10-08,59.400002,61.299999,58.0,59.0,59.0,29495160
2015-10-09,59.400002,61.0,57.099998,60.900002,60.900002,23773530
2015-10-12,61.099998,64.300003,60.400002,64.199997,64.199997,15545945
2015-10-13,64.599998,65.800003,63.799999,65.599998,65.599998,11904135
2015-10-14,65.099998,65.400002,61.400002,61.900002,61.900002,17591650
2015-10-15,62.400002,63.400002,61.099998,63.0,63.0,14055850
2015-10-16,63.200001,64.199997,62.400002,63.900002,63.900002,10553865
2015-10-19,64.199997,66.400002,63.599998,66.0,66.0,9630080
2015-10-20,66.400002,69.300003,65.599998,68.199997,68.199997,15332760
2015-10-21,68.5,70.0,67.099998,69.400002,69.400002,12102460
2015-10-22,69.199997,69.800003,68.0,69.0,69.0,5201970
2015-10-23,69.199997,73.599998,69.199997,73.400002,73.400002,13108870
2015-10-26,74.0,82.599998,73.699997,82.599998,82.599998,23452005
2015-10-27,82.400002,106.0,80.300003,106.0,106.0,49584825
2015-10-28,100.400002,102.0,60.0,62.0,62.0,108576385
2015-10-29,64.0,71.800003,62.299999,70.400002,70.400002,48877355
2015-10-30,73.599998,88.400002,72.800003,84.0,84.0,45062730
2015-11-02,86.599998,92.0,85.199997,91.599998,91.599998,27280730
2015-11-03,92.800003,99.5,79.400002,95.5,95.5,27816965
2015-11-04,98.0,98.800003,83.599998,91.099998,91.099998,34300925
2015-11-05,100.0,101.599998,89.0,93.300003,93.300003,40407125
2015-11-06,95.300003,96.400002,89.199997,90.800003,90.800003,15684680
2015-11-09,88.0,93.599998,86.0,90.900002,90.900002,13671850
2015-11-10,91.199997,91.800003,86.099998,86.099998,86.099998,9938430
2015-11-11,84.800003,89.099998,79.699997,88.0,88.0,17768575
2015-11-12,88.0,88.800003,85.199997,85.5,85.5,8144725
2015-11-13,85.199997,87.599998,85.0,86.400002,86.400002,4322385
2015-11-16,83.599998,95.900002,82.800003,94.699997,94.699997,23602560
2015-11-17,95.0,96.0,90.400002,91.800003,91.800003,8884770
2015-11-18,92.199997,93.0,89.699997,90.400002,90.400002,4649125
2015-11-19,90.400002,94.199997,90.300003,93.300003,93.300003,5428420
2015-11-20,93.900002,95.800003,93.900002,95.400002,95.400002,6924400
2015-11-23,96.400002,104.0,95.699997,103.800003,103.800003,17181825
2015-11-24,102.800003,107.199997,100.0,101.599998,101.599998,21585560
2015-11-25,102.199997,106.800003,102.199997,106.599998,106.599998,12365075
2015-11-26,107.599998,110.0,106.800003,109.400002,109.400002,10170325
2015-11-27,109.400002,114.400002,108.0,113.0,113.0,12412055
2015-11-30,113.800003,124.0,113.599998,124.0,124.0,26637005
2015-12-01,123.599998,127.800003,111.199997,120.199997,120.199997,30085600
2015-12-02,126.400002,132.800003,124.599998,131.600006,131.600006,21773620
2015-12-03,132.199997,133.199997,128.800003,131.0,131.0,12363200
2015-12-04,130.399994,136.0,129.0,135.0,135.0,14257000
2015-12-07,134.600006,136.399994,128.399994,128.600006,128.600006,16271850
2015-12-08,128.0,132.399994,125.400002,128.0,128.0,17255465
2015-12-09,129.800003,135.399994,119.599998,122.0,122.0,40172380
2015-12-10,115.400002,116.0,102.0,110.599998,110.599998,33579520
2015-12-11,110.0,110.199997,95.400002,98.0,98.0,25798750
2015-12-14,95.400002,105.800003,94.5,95.400002,95.400002,19536880
2015-12-15,98.0,100.0,84.0,98.800003,98.800003,37283490
2015-12-16,100.800003,103.199997,96.099998,98.800003,98.800003,18235880
2015-12-17,100.599998,102.199997,96.800003,100.0,100.0,10274425
2015-12-18,100.400002,102.400002,98.800003,102.0,102.0,8436905
2015-12-21,102.199997,105.800003,101.400002,103.800003,103.800003,7897005
2015-12-22,104.599998,105.0,99.300003,99.599998,99.599998,5282315
2015-12-23,99.699997,101.400002,95.199997,100.400002,100.400002,6869865
2015-12-28,100.400002,103.199997,97.800003,103.0,103.0,4410640
2015-12-29,103.599998,104.800003,102.400002,104.599998,104.599998,4638240
2015-12-30,105.400002,120.0,105.199997,118.199997,118.199997,25963535
2016-01-04,118.199997,118.199997,118.199997,118.199997,118.199997,0
