Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,548.5,561.0,548.0,555.5,527.020264,491684
2015-01-05,555.5,561.5,554.5,560.0,531.289551,288502
2015-01-07,560.0,560.0,538.0,538.0,510.41741900000005,620636
2015-01-08,542.0,555.5,540.5,555.5,527.020264,517781
2015-01-09,554.0,561.5,551.5,558.0,529.39209,442178
2015-01-12,559.5,572.5,559.5,571.0,541.725586,555266
2015-01-13,569.0,578.5,568.5,577.0,547.417908,724187
2015-01-14,580.0,590.0,565.5,573.0,543.6229860000001,896885
2015-01-15,576.5,585.0,563.5,582.0,552.161621,766551
2015-01-16,575.0,582.0,570.0,580.0,550.264221,583589
2015-01-19,582.0,584.0,575.0,582.0,552.161621,589072
2015-01-20,582.0,587.5,580.0,584.5,554.533508,500614
2015-01-21,585.0,588.0,573.5,581.5,551.6872559999999,457136
2015-01-22,584.0,584.0,568.5,578.0,548.366699,654248
2015-01-23,579.0,592.5,578.0,587.5,557.3797,608445
2015-01-26,587.0,596.5,585.0,588.0,557.854004,458317
2015-01-27,585.5,590.5,583.5,588.0,557.854004,458037
2015-01-28,593.5,595.0,583.0,590.5,560.225891,815282
2015-01-29,588.0,596.5,587.5,592.0,561.648926,539917
2015-01-30,592.5,596.0,584.0,592.0,561.648926,519740
2015-02-02,591.0,597.5,581.5,582.5,552.636047,437878
2015-02-03,587.5,589.5,577.0,578.0,548.366699,556494
2015-02-04,579.5,593.0,579.5,589.0,558.8027950000001,536019
2015-02-05,577.5,581.5,570.5,572.5,543.148682,1290211
2015-02-06,573.0,573.0,562.5,571.0,541.725586,632453
2015-02-09,567.5,570.0,562.5,567.5,538.405029,477243
2015-02-10,566.5,569.0,562.5,569.0,539.828125,519828
2015-02-11,568.5,575.0,567.0,574.0,544.571716,516296
2015-02-12,576.0,588.5,573.0,585.0,555.0078129999999,698620
2015-02-13,587.5,590.5,585.0,589.0,558.8027950000001,379129
2015-02-16,586.5,589.5,575.5,578.0,548.366699,454006
2015-02-17,578.5,582.0,573.5,581.0,551.212952,613422
2015-02-18,579.5,584.0,575.5,581.5,551.6872559999999,791159
2015-02-19,569.0,575.5,562.0,575.5,547.1710820000001,946064
2015-02-20,573.5,573.5,566.5,569.5,541.466431,894814
2015-02-23,570.5,584.0,570.5,582.5,553.826477,660991
2015-02-24,582.5,586.5,581.5,585.5,556.678833,311392
2015-02-25,582.0,583.5,575.0,579.5,550.974243,433611
2015-02-26,579.5,581.0,574.5,577.0,548.597229,389433
2015-02-27,578.0,580.0,571.0,577.0,548.597229,429402
2015-03-02,575.0,579.0,572.5,574.0,545.7448730000001,284116
2015-03-03,576.5,576.5,563.0,563.5,535.7617799999999,406786
2015-03-04,563.5,566.0,559.5,564.0,536.237122,730382
2015-03-05,565.0,572.5,560.0,571.0,542.8926389999999,377578
2015-03-06,577.0,579.0,562.5,564.0,536.237122,499844
2015-03-09,563.5,564.0,555.0,560.5,532.9094240000001,387669
2015-03-10,559.5,562.5,552.0,552.0,524.82782,261427
2015-03-11,553.0,559.5,548.5,557.0,529.581726,436307
2015-03-12,557.0,578.0,556.0,575.5,547.1710820000001,905599
2015-03-13,577.0,584.0,574.5,582.5,553.826477,571619
2015-03-16,584.0,595.0,574.0,594.0,564.760437,590292
2015-03-17,595.5,598.5,587.0,594.0,564.760437,441095
2015-03-18,596.0,613.5,593.0,611.0,580.923523,858329
2015-03-19,613.0,618.0,610.5,615.5,585.202087,613992
2015-03-20,616.0,626.5,614.5,625.0,594.2344360000001,407642
2015-03-23,625.0,625.5,612.0,613.0,582.8251339999999,420681
2015-03-24,613.0,617.0,610.5,613.5,583.300476,416938
2015-03-25,611.0,611.5,598.0,603.0,573.3173830000001,490698
2015-03-26,598.0,600.0,591.5,596.5,567.13739,496800
2015-03-27,599.5,606.5,596.5,597.5,568.088135,391676
2015-03-30,600.5,608.5,597.0,603.0,573.3173830000001,414795
2015-03-31,600.5,602.5,590.5,594.0,564.760437,424908
2015-04-01,590.0,597.0,589.5,595.5,566.186646,353306
2015-04-02,595.0,597.0,591.0,595.5,566.186646,105318
2015-04-07,595.5,604.0,594.0,603.0,573.3173830000001,351690
2015-04-08,603.0,608.0,599.0,606.5,576.645081,358299
2015-04-09,606.5,614.0,606.0,613.0,582.8251339999999,507276
2015-04-10,614.0,618.5,594.5,613.0,582.8251339999999,697828
2015-04-13,613.0,619.5,608.0,609.5,579.497437,355572
2015-04-14,608.0,621.0,608.0,620.5,589.955994,280635
2015-04-15,620.0,635.0,620.0,630.0,598.988342,534092
2015-04-16,630.5,633.0,620.0,620.5,589.955994,394150
2015-04-17,620.5,629.0,613.0,613.0,582.8251339999999,745157
2015-04-20,613.5,626.5,613.5,622.0,591.382141,410200
2015-04-21,624.0,635.0,622.0,627.0,596.135925,363344
2015-04-22,627.0,639.0,626.5,638.0,606.594604,522297
2015-04-23,638.0,643.0,627.5,628.0,597.086792,353458
2015-04-24,635.0,635.0,611.0,621.0,590.431396,570559
2015-04-27,620.5,623.0,611.0,616.5,586.152893,493352
2015-04-28,612.5,612.5,594.0,596.5,567.13739,974401
2015-04-29,595.5,600.0,575.5,575.5,547.1710820000001,1143755
2015-04-30,574.5,576.0,567.5,569.0,540.990967,431996
2015-05-04,569.0,577.5,569.0,577.5,549.072632,414947
2015-05-05,577.0,582.5,565.0,565.0,537.187927,936368
2015-05-06,563.0,563.5,550.5,555.0,527.680237,719410
2015-05-07,550.5,558.0,544.0,557.5,530.05719,658844
2015-05-08,566.5,578.5,566.5,576.0,547.646423,942365
2015-05-11,576.0,587.0,576.0,584.5,555.728088,546623
2015-05-12,582.0,583.5,569.0,573.0,544.794128,501674
2015-05-13,577.0,580.0,572.0,578.0,549.5479740000001,183399
2015-05-15,578.0,580.5,569.0,569.5,541.466431,548075
2015-05-18,566.0,570.0,562.0,569.0,540.990967,494681
2015-05-19,573.0,575.0,569.0,570.5,542.417236,621409
2015-05-20,573.0,576.0,569.0,573.0,544.794128,408280
2015-05-21,571.5,583.0,569.5,578.5,550.0234379999999,550096
2015-05-22,579.0,584.5,577.5,582.5,553.826477,499085
2015-05-25,582.0,582.0,571.5,575.0,546.69574,253124
2015-05-26,575.5,580.0,569.5,571.0,542.8926389999999,342941
2015-05-27,574.5,585.0,572.5,585.0,556.20343,423563
2015-05-28,584.5,589.0,583.0,584.0,555.252686,346667
2015-05-29,584.0,585.5,572.0,572.0,543.843384,551363
2015-06-01,577.5,590.0,570.5,571.0,542.8926389999999,557204
2015-06-02,573.5,575.5,563.5,568.0,540.040283,385536
2015-06-03,570.0,570.5,561.0,562.5,534.811035,401954
2015-06-04,561.5,561.5,548.0,553.5,526.254089,530009
2015-06-05,551.5,563.0,548.5,561.0,533.384827,657697
2015-06-08,559.0,560.5,554.0,555.0,527.680237,204632
2015-06-09,552.5,552.5,540.5,543.5,516.746277,433956
2015-06-10,543.5,552.0,541.0,550.5,523.401794,426023
2015-06-11,550.5,551.5,544.5,547.0,520.074036,394759
2015-06-12,547.0,547.0,535.0,536.5,510.090851,586850
2015-06-15,533.0,535.0,529.0,529.5,503.435425,458793
2015-06-16,528.0,536.5,526.0,535.0,508.66470300000003,677288
2015-06-17,534.5,540.0,531.5,537.0,510.56631500000003,417147
2015-06-18,538.0,542.0,530.0,541.0,514.369385,473227
2015-06-22,541.0,549.0,541.0,546.5,519.5986330000001,466115
2015-06-23,549.0,557.0,549.0,556.0,528.631042,517486
2015-06-24,557.0,558.5,549.0,552.5,525.303284,404315
2015-06-25,548.5,548.5,542.5,544.0,517.22168,336599
2015-06-26,543.0,549.0,535.0,548.5,521.5001219999999,309052
2015-06-29,532.5,542.5,530.0,533.0,506.76321399999995,511971
2015-06-30,532.5,532.5,522.5,522.5,496.77999900000003,1028524
2015-07-01,528.5,540.0,525.0,538.0,511.517029,480946
2015-07-02,541.5,553.5,540.0,551.5,524.352539,523264
2015-07-03,553.5,554.5,548.0,548.5,521.5001219999999,310357
2015-07-06,543.0,555.0,543.0,546.0,519.123291,409872
2015-07-07,550.0,556.0,549.0,552.0,524.82782,341908
2015-07-08,551.5,553.0,543.0,544.5,517.697083,553247
2015-07-09,546.5,553.5,543.5,551.5,524.352539,365495
2015-07-10,559.0,559.5,553.0,559.5,531.95874,328175
2015-07-13,562.5,573.5,562.5,570.0,541.941833,362290
2015-07-14,571.0,579.0,570.0,575.0,546.69574,373875
2015-07-15,578.0,580.0,576.0,577.5,549.072632,258053
2015-07-16,580.0,582.0,573.0,577.0,548.597229,304242
2015-07-17,578.0,583.0,573.5,582.5,553.826477,315894
2015-07-20,583.5,589.5,581.0,584.5,555.728088,346216
2015-07-21,586.0,586.5,576.5,577.0,548.597229,296361
2015-07-22,576.5,579.0,572.5,576.0,547.646423,370685
2015-07-23,580.5,583.5,570.0,573.0,544.794128,278918
2015-07-24,572.0,574.0,565.5,567.0,539.089478,207752
2015-07-27,565.5,567.0,553.0,555.5,528.155579,307918
2015-07-28,560.0,560.0,553.5,558.5,531.007996,269623
2015-07-29,561.0,568.0,561.0,563.5,535.7617799999999,229576
2015-07-30,580.5,583.5,570.5,582.5,553.826477,606272
2015-07-31,584.5,584.5,574.0,581.0,552.4003299999999,396111
2015-08-03,581.0,586.0,580.0,584.5,555.728088,214709
2015-08-04,584.5,592.5,583.5,592.0,562.858887,418694
2015-08-05,593.5,603.5,592.0,603.0,573.3173830000001,391861
2015-08-06,602.5,602.5,595.0,598.5,569.03894,464349
2015-08-07,597.0,597.0,587.0,588.0,559.055847,309713
2015-08-10,590.0,591.0,578.0,590.5,561.432678,362291
2015-08-11,590.0,591.5,581.5,586.0,557.154175,292062
2015-08-12,582.5,582.5,570.5,573.5,545.2694700000001,437354
2015-08-13,573.0,577.5,566.5,566.5,539.154724,454926
2015-08-14,568.0,568.5,558.0,566.0,538.678894,407102
2015-08-17,569.0,571.5,559.5,570.0,542.485779,331940
2015-08-18,571.0,580.5,565.5,578.5,550.575439,396869
2015-08-19,576.0,578.5,567.0,569.5,542.009949,290369
2015-08-20,568.0,570.0,554.5,557.5,530.589111,294342
2015-08-21,552.0,552.0,534.0,534.0,508.22345,455093
2015-08-24,523.0,524.5,488.39999400000005,508.5,483.95437599999997,1380275
2015-08-25,512.5,528.5,511.0,527.5,502.03723099999996,863238
2015-08-26,518.0,527.5,508.0,516.5,491.568176,572904
2015-08-27,527.0,535.5,522.5,533.0,507.271759,532939
2015-08-28,533.5,534.0,524.0,532.0,506.320038,288635
2015-08-31,531.0,537.0,527.5,533.5,507.74762000000004,256503
2015-09-01,530.0,535.0,517.5,523.5,498.230316,484458
2015-09-02,527.0,538.0,521.5,530.5,504.892395,359854
2015-09-03,536.0,550.0,535.5,545.5,519.168396,523200
2015-09-04,543.0,549.5,538.5,538.5,512.506226,972554
2015-09-07,543.5,546.5,541.0,545.0,518.692505,200990
2015-09-08,549.5,557.5,548.5,551.5,524.878662,321178
2015-09-09,560.0,562.5,550.0,552.0,525.354553,302357
2015-09-10,547.5,560.5,545.5,555.5,528.685608,444659
2015-09-11,556.0,556.0,545.5,547.0,520.595947,260876
2015-09-14,550.5,557.0,546.5,547.5,521.071838,466904
2015-09-15,546.0,554.5,540.5,552.5,525.830383,280487
2015-09-16,556.5,557.0,548.5,555.0,528.209778,250682
2015-09-17,555.0,556.5,547.5,550.5,523.9270019999999,270139
2015-09-18,550.5,561.0,545.5,557.5,530.589111,834842
2015-09-21,561.5,570.5,559.5,567.0,539.630615,755070
2015-09-22,562.0,562.0,540.0,540.0,513.933838,648513
2015-09-23,539.0,547.5,537.0,543.5,517.2648929999999,307764
2015-09-24,543.0,545.0,537.0,539.0,512.982117,605702
2015-09-25,545.5,557.0,545.5,554.5,527.733887,299087
2015-09-28,550.0,557.5,538.5,538.5,512.506226,319305
2015-09-29,532.0,532.5,521.5,528.0,502.51312300000006,551324
2015-09-30,533.5,538.5,530.0,531.5,505.844208,393633
2015-10-01,537.5,542.5,526.5,528.0,502.51312300000006,268117
2015-10-02,534.0,538.5,518.0,528.0,502.51312300000006,319206
2015-10-05,535.0,539.5,530.5,537.0,511.07864400000005,323957
2015-10-06,537.0,539.5,529.0,529.5,503.940674,282146
2015-10-07,530.5,530.5,519.0,520.0,494.899261,648153
2015-10-08,518.0,530.0,518.0,526.5,501.08550999999994,321160
2015-10-09,533.5,534.0,522.0,528.5,502.98895300000004,566693
2015-10-12,527.5,530.0,523.5,526.0,500.60967999999997,341521
2015-10-13,526.5,526.5,511.0,514.5,489.664734,692420
2015-10-14,513.0,514.5,507.0,511.5,486.80954,411834
2015-10-15,514.0,525.5,512.5,525.0,499.657959,580412
2015-10-16,525.0,527.5,515.5,526.5,501.08550999999994,649766
2015-10-19,526.5,537.5,526.5,535.0,509.175171,329919
2015-10-20,534.5,534.5,515.5,518.0,492.99581900000004,573418
2015-10-21,516.5,516.5,505.5,509.0,484.430267,779736
2015-10-22,510.5,522.0,510.0,522.0,496.802704,393639
2015-10-23,528.0,536.5,523.0,532.0,506.320038,452618
2015-10-26,529.5,538.5,529.5,535.0,509.175171,251288
2015-10-27,532.5,536.0,528.5,531.5,505.844208,220907
2015-10-28,534.0,542.5,532.5,541.0,514.88562,318864
2015-10-29,544.5,550.0,539.5,547.5,521.071838,429066
2015-10-30,548.5,550.0,545.5,548.0,521.5476679999999,228404
2015-11-02,542.5,547.0,539.0,546.5,520.1201169999999,334106
2015-11-03,549.5,552.0,547.0,548.0,521.5476679999999,284549
2015-11-04,550.5,555.0,548.0,548.5,522.02356,505821
2015-11-05,560.0,570.0,557.0,559.5,532.492554,598033
2015-11-06,559.5,562.0,549.5,555.5,528.685608,427593
2015-11-09,554.5,556.0,543.5,546.5,520.1201169999999,266166
2015-11-10,546.0,550.5,544.5,546.0,519.644226,273843
2015-11-11,549.0,557.5,546.0,554.0,527.258057,242586
2015-11-12,551.5,553.0,538.0,538.0,512.030396,373343
2015-11-13,535.0,543.0,529.0,542.0,515.837341,439211
2015-11-16,537.0,564.5,535.0,561.5,534.396057,678022
2015-11-17,565.0,586.5,565.0,586.0,557.713379,900954
2015-11-18,584.0,586.0,575.5,586.0,557.713379,457904
2015-11-19,584.0,586.0,575.5,586.0,557.713379,457904
2015-11-20,589.0,595.5,589.0,595.5,566.7548830000001,384886
2015-11-23,589.0,595.5,589.0,595.5,566.7548830000001,36900
2015-11-24,590.0,591.0,582.5,585.5,557.2375490000001,847806
2015-11-25,586.5,596.5,584.5,594.0,565.327271,484543
2015-11-26,595.0,599.5,592.0,597.5,568.658325,323889
2015-11-27,595.0,596.5,589.5,595.0,566.278992,416568
2015-11-30,593.0,594.5,589.5,592.0,563.4238280000001,556668
2015-12-01,593.5,595.0,589.0,592.5,563.899658,345245
2015-12-02,598.0,606.5,597.0,597.0,568.182434,790488
2015-12-03,597.0,602.0,575.0,576.5,548.6719360000001,1013391
2015-12-04,576.0,576.0,567.5,570.0,542.485779,519114
2015-12-07,574.0,584.0,571.5,578.0,550.099548,409552
2015-12-08,578.0,580.0,567.0,568.5,541.058167,384699
2015-12-09,569.0,570.0,563.0,565.5,538.202942,424736
2015-12-10,567.0,569.0,561.5,566.5,539.154724,222617
2015-12-11,565.5,568.0,560.0,561.0,533.920105,364511
2015-12-14,560.0,565.5,549.0,550.5,523.9270019999999,426010
2015-12-15,554.5,565.5,551.0,564.0,536.775391,450540
2015-12-16,554.5,565.5,551.0,564.0,536.775391,450540
2015-12-17,575.0,578.0,566.5,568.0,540.582336,293408
2015-12-18,565.0,566.0,559.0,560.5,533.444275,349568
2015-12-21,565.0,566.0,559.0,560.5,533.444275,36800
2015-12-22,557.0,558.0,549.0,551.5,524.878662,371802
2015-12-23,558.5,571.5,558.0,571.5,543.913391,276176
2015-12-28,571.5,574.0,562.5,567.0,539.630615,136647
2015-12-29,569.0,575.5,569.0,575.0,547.244324,255226
2015-12-30,574.5,581.0,573.0,578.0,550.099548,339148
2016-01-04,578.0,578.0,578.0,578.0,550.099548,0
